registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type
2014,1498,3,1,80000,2,1,80,5,17.0,16
2016,1248,3,1,80000,3,1,88,5,21.63,19
2014,1197,3,1,80000,3,4,78,5,18.9,7
2017,1197,3,1,33000,1,4,78,5,20.51,7
2014,1248,3,1,80000,2,1,78,5,21.1,7
2018,1197,3,1,50000,1,4,81,5,18.6,7
2017,1197,3,1,70000,1,1,78,5,21.63,7
2014,1197,3,1,80000,1,1,78,5,21.63,7
2017,1197,3,1,60000,1,1,78,5,21.63,7
2014,1498,3,1,80000,2,1,118,5,17.0,21
2014,1498,3,1,80000,2,1,118,5,17.0,21
2015,1197,3,1,50000,3,4,78,5,20.51,7
2015,1248,3,1,80000,3,1,78,5,21.63,19
2014,1498,3,1,80000,2,1,118,5,21.63,19
2018,1395,4,0,45000,2,4,118,5,17.0,21
2018,1498,3,0,38000,1,4,118,5,17.0,19
2016,1498,4,0,49000,2,4,118,5,17.0,19
2018,1498,0,0,46000,2,1,118,5,18.25,19
2014,1498,4,0,33000,1,1,118,5,17.0,21
2018,1395,4,0,33000,1,4,118,5,17.84,19
2014,1498,4,0,80000,2,1,118,5,17.0,19
2016,1498,4,0,70000,1,1,118,5,17.0,21
2014,1498,4,0,72100,1,4,118,5,17.0,19
2018,1395,4,0,46300,1,4,118,5,19.2,19
2018,1498,4,0,38000,2,1,118,5,17.0,21
2019,1395,4,0,33000,1,4,118,5,19.2,19
2019,1498,3,0,33000,1,4,118,5,17.0,5
2019,1498,4,0,33000,1,4,118,5,17.0,5
2019,1498,3,0,48500,1,1,118,5,17.01,21
2018,1498,0,0,38000,1,1,118,5,18.53,19
2014,1498,4,0,43800,1,4,118,5,17.0,19
2019,1498,0,0,33000,1,4,118,5,17.0,19
2019,1498,0,0,33000,1,4,118,5,17.0,19
2019,1498,0,0,36700,1,4,118,5,17.0,19
2015,1498,4,0,79000,2,4,118,5,17.0,19
2017,1498,0,0,55400,1,1,118,5,20.38,19
2019,1395,0,0,33000,1,4,118,5,19.2,19
2019,1395,0,0,33000,1,4,118,5,19.2,19
2019,1395,0,0,33000,1,4,118,5,17.84,19
2018,1498,0,0,43500,1,1,118,5,20.38,19
2019,1395,0,0,44000,1,4,118,5,19.2,19
2015,1498,4,0,80000,1,1,118,5,18.53,19
2017,1396,3,1,80000,1,1,88,5,21.63,7
2019,1197,3,0,33000,1,4,81,5,21.21,7
2015,1197,4,1,76469,1,4,88,5,21.63,19
2014,1198,3,1,80000,1,4,86,5,18.0,19
2018,1498,4,1,57689,2,1,118,5,17.0,21
2019,1197,3,1,33000,2,4,78,5,21.63,7
2016,1197,3,0,62001,3,4,78,5,21.63,7
2018,1248,3,1,73081,1,1,88,5,21.63,21
2019,1197,0,1,33000,1,4,98,5,20.0,21
2014,1197,3,1,80000,2,1,78,5,21.63,7
2014,1298,3,1,70000,1,4,85,5,17.5,19
2014,1199,3,1,50000,2,4,79,5,18.6,7
2016,1248,3,1,80000,2,1,88,5,21.63,16
2014,1197,3,1,70000,2,4,78,5,20.36,7
2015,1197,3,1,80000,3,4,83,5,20.85,19
2015,1396,3,1,80000,2,1,88,5,21.63,7
2019,1199,0,1,49551,1,0,78,5,21.63,19
2016,1197,3,1,80000,1,4,83,5,21.4,7
2017,1197,3,1,69056,1,4,83,5,21.4,7
2019,1197,3,1,37503,1,4,81,5,21.01,7
2016,1197,4,1,47202,1,4,78,5,20.51,7
2017,1199,3,1,37746,1,4,88,5,17.5,21
2018,1498,3,1,57535,2,1,98,5,21.63,21
2018,1197,3,1,47909,1,4,81,5,18.6,7
2014,1197,3,1,50000,1,0,78,5,21.63,7
2019,1197,3,0,33000,1,4,78,5,19.03,21
2014,1248,3,1,80000,2,1,78,5,21.63,19
2016,1498,3,1,70000,1,1,98,5,21.63,21
2015,1498,3,0,80000,1,1,118,5,17.9,19
2019,1197,3,1,50000,1,4,78,5,21.63,7
2015,1248,0,1,69981,1,1,78,5,21.63,7
2018,1197,0,1,33000,1,4,83,5,21.4,7
2018,1197,4,1,80000,2,4,81,5,21.21,19
2019,1197,3,1,33000,1,4,78,5,21.63,7
2019,1498,3,1,40680,1,1,97,5,21.63,19
2018,1197,3,1,66198,1,4,78,5,21.1,7
2018,1197,3,0,80000,1,4,78,5,21.63,7
2015,1498,3,1,80000,2,1,98,5,21.63,19
2014,1497,3,1,80000,2,4,100,5,17.0,19
2019,1197,3,1,50000,1,4,81,5,18.6,7
2017,1498,3,1,80000,2,1,98,5,21.63,19
2014,1498,3,1,80000,3,4,118,5,17.0,19
2018,1199,0,1,39240,1,4,88,5,19.5,19
2019,1462,0,1,33000,1,4,103,5,17.03,21
2018,1197,4,1,62433,1,4,78,5,21.63,7
2017,1248,3,1,46929,1,1,78,5,21.63,7
2017,1498,3,1,47000,1,4,118,5,17.0,21
2014,1197,3,1,52703,1,4,78,5,21.1,7
2014,1248,3,1,80000,1,1,78,5,21.63,7
2017,1498,3,0,33000,1,1,108,5,21.63,19
2018,1197,3,1,33000,1,4,78,5,21.1,7
2017,1197,3,1,80000,1,0,78,5,21.63,7
2019,1498,3,1,40000,1,1,118,5,20.5,21
2014,1197,3,1,60000,2,4,78,5,21.63,7
2014,1498,3,1,80000,2,1,103,5,20.5,19
2014,1498,3,1,80000,2,1,80,5,17.0,3
2018,1197,3,1,50000,2,4,78,5,21.63,7
2014,1248,3,1,74208,1,1,78,5,21.63,7
2018,1498,3,0,80000,1,1,118,5,17.0,21
2017,1197,4,0,33000,1,4,81,5,20.89,7
2016,1197,3,0,72029,2,4,78,5,21.63,7
2017,1248,0,1,80000,1,1,88,5,21.63,21
2019,1197,0,0,33000,1,4,81,5,20.1,19
2018,1197,3,1,47641,3,4,81,5,17.19,7
2019,1197,3,1,40584,1,4,88,5,21.63,7
2018,1197,3,1,39259,1,4,78,5,21.63,7
2014,1498,3,1,80000,4,1,100,5,17.0,16
2014,1498,3,1,80000,4,1,100,5,17.0,16
2018,1498,3,1,80000,1,1,118,5,20.5,21
2019,1498,3,1,33000,1,4,108,5,17.0,21
2017,1396,3,1,80000,2,1,88,5,21.63,19
2014,1248,3,1,80000,2,1,78,5,21.63,19
2014,1248,4,1,80000,1,1,78,5,21.63,19
2014,1197,4,1,60708,1,4,88,5,21.63,19
2019,1197,3,1,72225,1,4,81,5,20.89,7
2018,1461,3,1,80000,2,1,108,5,19.6,21
2019,1197,3,1,33000,1,4,81,5,21.01,7
2019,1197,3,1,76980,1,4,78,5,21.63,7
2014,1197,3,1,50000,1,4,78,5,17.0,7
2014,1498,3,1,80000,3,1,118,5,17.0,21
2016,1493,3,1,80000,1,1,100,5,18.49,21
2017,1498,3,0,80000,1,1,118,5,20.68,21
2019,1197,3,1,65698,1,4,88,5,21.63,7
2014,1498,3,1,80000,2,4,102,5,17.0,21
2016,1364,3,1,59819,2,1,78,5,21.63,7
2016,1197,0,1,80000,1,4,78,5,21.63,7
2015,1498,4,1,33000,1,4,118,5,17.0,21
2015,1197,3,1,57294,2,4,81,5,17.19,7
2018,1197,3,1,33000,1,4,78,5,21.63,7
2018,1198,3,0,33000,1,4,108,5,17.0,21
2017,1198,3,1,51719,1,1,78,5,21.63,7
2014,1197,3,1,80000,1,4,78,5,19.0,7
2017,1498,3,1,70000,2,1,118,5,17.0,21
2018,1248,3,0,60000,1,1,78,5,21.63,7
2019,1197,3,1,33000,1,4,113,5,19.47,19
2014,1248,3,1,80000,3,1,78,5,21.63,7
2016,1498,3,1,80000,2,1,118,5,17.0,21
2018,1396,0,1,66141,2,1,88,5,21.63,7
2018,1199,3,0,33000,2,4,83,5,21.63,7
2018,1248,4,1,33000,1,1,88,5,21.63,21
2019,1197,3,1,33245,1,4,78,5,21.63,7
2018,1197,3,1,42665,1,4,81,5,20.14,19
2018,1498,0,1,80000,1,1,98,5,21.63,19
2019,1197,3,1,38658,1,4,83,5,21.4,7
2019,1197,3,1,33000,1,4,81,5,18.9,7
2019,1197,3,1,60000,3,4,78,5,21.63,7
2019,1197,3,1,70000,1,0,78,5,21.63,7
2014,1498,3,1,80000,2,4,118,5,17.01,19
2017,1198,3,1,33000,1,4,108,5,17.0,21
2019,1493,3,1,40000,1,1,113,5,21.63,19
2016,1498,3,1,80000,2,1,118,5,17.0,21
2017,1197,4,0,34061,1,4,78,5,21.63,7
2018,1197,3,1,51140,2,4,81,5,18.9,7
2014,1197,3,1,55076,1,4,78,5,19.81,7
2015,1197,3,1,80000,2,1,78,5,21.63,7
2016,1197,0,1,54091,1,4,83,5,21.4,7
2014,1497,3,0,56446,2,4,116,5,17.0,19
2018,1197,4,1,41609,1,0,78,5,21.63,7
2019,1197,3,1,33000,1,4,81,5,21.01,7
2019,1199,4,1,53873,1,4,88,5,19.5,19
2014,1498,3,1,80000,1,1,89,5,21.63,21
2019,1498,3,0,60000,1,1,118,5,17.0,21
2014,1498,3,1,60000,1,4,118,5,17.01,19
2019,1498,3,1,60000,1,4,118,5,18.6,19
2014,1248,3,1,80000,3,1,78,5,21.63,7
2015,1461,3,1,80000,1,1,108,5,19.01,21
2018,1197,3,1,50000,2,4,83,5,21.4,7
2019,1197,3,1,80000,1,0,78,5,21.63,7
2019,1197,3,1,33000,1,4,83,5,21.4,7
2018,1248,4,0,55145,1,1,78,5,21.63,19
2017,1197,3,0,80000,1,4,78,5,21.63,7
2019,1197,3,1,33000,1,4,81,5,20.7,7
2017,1197,3,1,67328,2,4,78,5,21.1,7
2018,1197,4,1,80000,1,4,81,5,20.89,7
2019,1197,0,1,43788,1,4,88,5,21.63,7
2016,1197,4,0,51520,2,4,82,5,18.9,7
2014,1197,4,1,60574,1,4,88,5,21.63,7
2016,1373,3,1,80000,1,4,91,5,20.73,19
2014,1197,3,1,80000,3,4,82,5,18.9,7
2014,1498,3,0,80000,2,1,118,5,17.0,19
2019,1498,3,0,60000,1,1,118,5,17.0,21
2017,1498,3,1,70000,1,1,98,5,21.63,19
2018,1197,3,1,40000,1,4,78,5,21.63,7
2017,1497,3,1,70000,1,4,117,5,17.8,19
2019,1396,3,1,60000,1,1,88,5,21.63,21
2019,1197,0,1,34348,1,4,81,5,21.01,7
2019,1197,3,1,34139,1,4,81,5,21.0,7
2016,1197,4,1,80000,1,4,83,5,21.4,7
2016,1497,4,1,33000,2,4,117,5,17.8,19
2018,1197,3,1,33000,1,4,78,5,21.1,7
2016,1498,3,1,60047,2,1,98,5,21.63,21
2019,1498,3,1,63152,1,1,98,5,21.63,21
2019,1248,0,1,80000,1,1,78,5,21.63,7
2018,1498,4,1,80000,2,1,98,5,21.63,21
2016,1373,3,1,47075,1,4,91,5,20.73,19
2015,1498,3,0,80000,2,1,118,5,21.63,19
2017,1498,3,0,80000,2,1,108,5,21.63,19
